"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3540992040.329","4161702127.65957","3892819148.93617","3471808776.59574","3665159574.46809","3280851063.82979","2588829787.23404","2964627659.57447","2869148936.17021","3385638031.91489","4001596010.6383","4414893617.02128","4596276329.78723","4198138297.87234","4119148936.17021","4122340425.53191","4649734042.55319","4413031914.89362","3950532180.85106","4168882978.7234","5132180851.06383","4794680851.06383","5624202127.65957","6205053191.48936","8170478723.40425","10286968085.1064","11559042553.1915","12626329787.234","16276329787.234","11353989361.7021","13097074468.0851","21506648936.1702","25749202127.6596","28331382978.7234","26548936170.2128","22301861702.1277","21088031914.8936","23876329787.234","27048670212.766","","",
"Bahamas, The","BHS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","471600000","562000000","686200000","839600000","889700000","939900000","1005300000","1190100000","1375500000","1431700000","1514500000","","1750510000","1771670000","1716350000","1592260000","1589080000","1739670000","1883080000","2086690000","2713700000","2943000000","3015600000","3359600000","3196400000","3028700000","3127000000","3421700000","4193800000","5006500000","5088400000","5045700000","4225400000","4414100000","5125700000","4944700000","4809000000","5367100000","4454100000","4435000000","5000200000","5127600000","","",
"Bosnia and Herzegovina","BIH","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","1334000000","2336999933.54599","2672984372.29687","4049326021.48093","4412863888.88889","4157033207.72492","4365003065.51977","4717671799.80751","6961219561.45413","7082920634.92064","8039422648.94767","8107497915.46405","8907162351.29461","11336685140.8029","8584652319.05675","8806994650.23363","10403825431.8004","9611645644.46196","9850602810.39984","10510282186.9489","8645165863.33995","8845551722.18766","10313548461.4498","11525260712.1304","11172268902.7531","",
"Belarus","BLR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9450000000","6000000000","9814814814.81481","13570247933.8843","12558744545.1494","7552655203.36993","7441153846.15385","9276190109.38222","9727865938.25876","7481164884.97563","9221273498.82313","8685107913.66906","9832808486.87884","12298586055.5826","17184722222.2222","17848607242.3398","23737156177.1562","30431314072.6934","41721254681.6479","30401933404.9409","36934306814.3672","49102934673.3668","48809523809.5238","46436407657.6576","43907521517.9969","32689583071.7066","29922094893.4459","36435957149.5109","41384766391.8335","42210058322.9754","",
"Belize","BLZ","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","113599759.057971","123637027.173913","107602916.666666","104498168.478261","125848628.623189","109048963.768116","112664081.521739","147241619.565217","182372057.971015","212186146.739131","211293000","0","274248250","280961550","304594500","304557200","322397200","364499950","392227550","493526400","613013050","602427450","616695950","653017500","618982100","698550150","750575100","790029600","953288000","751680250","807676850","939713200","971664600","1051774550","1085325100","1142213050","1093669500","1073213700","1085444150","1090322900","",
"Bermuda","BMU","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771580000","1734013000","1601009000","1586786000","1649401000","","","","","","","",
"Bolivia","BOL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","89483964.6738677","94909764.7706973","113858328.185779","126128983.789379","126629826.87524","161279461.279461","177188552.188552","196632996.632997","206228956.228956","216161616.161616","247727272.727273","267340067.340067","302068446.784505","357671164.417791","562818590.704648","774712643.678161","816491754.122939","956771614.192904","1131534232.88356","1211274646.74832","1019575856.44372","1345840130.50571","1638789044.14898","1303803479.68743","1592839080.20319","1228323587.76353","1017851568.19081","1043169574.42149","1063833480.836","1092054033.16888","1164632089.89331","1440847064.73775","1640403025.25317","1627865935.14806","1626751433.82751","1825637772.63921","2017479801.36365","2326903298.25096","2768710912.68761","2260778163.9254","2294564081.83068","2056200184.65544","2191068898.18689","2131085361.39545","2309688004.03226","3064661856.4114","3752334864.44655","4495795419.80844","6329651161.18426","5705628917.37892","6744572947.39692","9199095430.30128","10233217655.5716","11386396526.7728","13848956005.7887","12231374674.3849","10831641389.2909","11927938929.0883","12537987264.8336","12853418089.725","",
"Brazil","BRA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1079376914.93865","1118302726.08473","1033970196.04432","2097486800.99115","1204326396.14961","1210637974.35359","1621508461.2021","1764834054.99797","2239326014.7452","2454948720.19931","3153304260.31533","4004245613.85253","5177234171.78625","7532763884.77189","14596797400.1872","14233481672.8226","14401534168.3917","13948797699.9376","15791774010.8349","20642227950.3886","26571483279.6605","25827534749.1203","23307743170.8143","18314364418.7078","16563864377.3291","15818492271.929","17038985216.6532","18211636976.1514","18807996682.1739","23242900390.625","32160000000","47710000000","33590625000","39822360248.4472","53957453464.727","72742324397.9514","75733720724.306","84721451205.9369","81259829211.5467","68433801840.5246","81611100027.3299","81470191055.1824","68004834965.369","72356034124.1469","87897949128.2051","105595458223.792","129232641290.856","167160252067.177","232727652852.001","187616483044.913","263001364256.48","323150406504.065","326310480774.154","347274708965.261","335819379515.512","253273317502.78","216687480308.195","243509744939.525","273547364661.448","269601911015.338","",
"Barbados","BRB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","242949853.967625","282486775.127258","302530894.957146","377933177.54686","510366429.672351","619897578.680455","653706557.947596","657634365.833043","728682941.381196","769203997.414608","719733505.692835","713319743.44951","658579028.489037","696315815.641625","823397802.416348","872719136.876647","836821955.948889","676900000","779893601.153483","821061005.319942","998458708.298116","1073683687.1675","1230845721.67255","1286033908.41744","1372743996.42023","1448450000","1386450000","1381950000","1512750000","1734650000","2016750000","2294406000","2368287800","2568563450","2045378300","2240070050","2282372050","2173750450","2146912650","2114664750","2031609600","2035109800","2027176350","2019610150","2171296150","",
"Brunei Darussalam","BRN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","186302269.27654","273689537.384557","259834871.296746","278757071.411003","281002638.522427","396394739.262393","574911264.711377","598759880.721352","734579439.252336","729768102.224326","","","","","","1051120340.46044","1312000000","1487034035.6564","2004297114.79435","2125263027.60243","1978525599.05722","2642867221.67349","3102127659.57447","3040140086.2069","2325525812.6195","2226548672.56637","2149450696.05568","2195267064.79879","2432352284.15056","2358621283.43474","2502655957.87481","2601040675.31843","2892504248.22204","3416827018.77778","3974597798.47587","3841055960.40148","3832783278.32783","5563240321.1702","6758162612.03585","7761349104.85933","5855137332.28098","4872585606.22591","4302837544.34229","4318030704.61293","5693409148.19483","6810627548.95356","",
